,stromal_score,immune_score,estimate_score,tumor_purity,true_purity
TCGA-LIHC-0105,-0.5762648103790369,-0.3516595821810207,-0.9279243925600575,0.8225868378821148,0.8694653743327073
TCGA-LIHC-0106,0.07171992615002358,0.47681068191777415,0.5485306080677977,0.8224635793320134,0.6643595503837364
TCGA-LIHC-0107,-0.043180265607601645,-0.3222041000753423,-0.3653843656829439,0.8225398800394267,0.7543340628652719
TCGA-LIHC-0108,0.4897297277121542,-0.09514807711005571,0.3945816506020985,0.8224764332212277,0.663304785667837
TCGA-LIHC-0109,-0.3886059708262792,-0.3616989856345567,-0.750304956460836,0.8225720117643117,0.9277501302091156
TCGA-LIHC-0110,-0.6130760527043663,-0.5102959537635509,-1.1233720064679171,0.8226031514941712,0.9311923117131288
TCGA-LIHC-0111,0.12536658805146114,0.3610243214642581,0.4863909095157193,0.8224687677048118,0.568574344587114
TCGA-LIHC-0112,0.4971135744155858,0.12488985890777972,0.6220034333233655,0.8224574446081093,0.49967712813780896
TCGA-LIHC-0113,0.06122072048040202,0.11189066256340002,0.17311138304380205,0.8224949240308511,0.5555742695239623
TCGA-LIHC-0114,0.7351682418070137,0.4261388933806639,1.1613071351876776,0.8224124117072992,0.30673237159354966
TCGA-LIHC-0115,-0.12272745399234568,-0.33336456479614635,-0.45609201878849204,0.8225474522100418,0.871983675681599
TCGA-LIHC-0116,1.0472507063329792,0.46368985971132404,1.5109405660443032,0.8223832138866958,0.31201700845018593
TCGA-LIHC-0117,0.6444039630074864,0.18722255738321375,0.8316265203907001,0.822439941287771,0.5359705726828938
TCGA-LIHC-0118,-0.22384728434476223,-0.10943931365126604,-0.3332865979960283,0.8225372005197454,0.7302465324991889
TCGA-LIHC-0119,0.20934691710123382,0.367881990065045,0.5772289071662788,0.8224611831358096,0.5905680476590286
TCGA-LIHC-0120,-0.13216285237673012,0.10955144742058832,-0.022611404956141792,0.8225112644299862,0.6705436003586598
TCGA-LIHC-0121,0.8346413780838462,0.19847893232871336,1.0331203104125595,0.8224231160217107,0.3461361651028987
TCGA-LIHC-0122,-0.3861682521782364,0.07743520590760315,-0.30873304627063325,0.8225351507784244,0.829923671535465
TCGA-LIHC-0123,-0.08695186990161201,-0.04541307827706342,-0.13236494817867545,0.8225204271778375,0.6762433807531378
TCGA-LIHC-0124,0.1382482744502962,0.2811626216382033,0.4194108960884995,0.8224743601445227,0.6002725074415509
