molecule_chembl_id,known_name,pref_name,synonyms,molecule_type,max_phase,best_IC50_nM,best_IC50_units,best_EC50_nM,best_inhibition_pct,best_pchembl_value,action_type_clean,standard_types,targets,target_names,num_activities,document_years,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,cx_logp,cx_logd,canonical_smiles
CHEMBL5559141,,,,,,,,,14.7,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,341.38,2.56,6,1,68.45,7,0,,,CCOC(=O)c1csc(N(CCN)Cc2cccc(F)c2F)n1
CHEMBL5559154,,,,,,,,,92.2,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,373.40,3.30,6,1,68.45,7,0,,,CCOC(=O)c1csc(N(CCN)Cc2cccc(C(F)(F)F)c2)n1
CHEMBL5559569,,,,,,,,,35.6,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,460.65,4.96,5,2,71.25,7,0,,,NCCN(Cc1ccc2ccccc2c1)c1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)cs1
CHEMBL5559674,,,,,,,,,84.6,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,373.40,3.30,6,1,68.45,7,0,,,CCOC(=O)c1csc(N(CCN)Cc2ccc(C(F)(F)F)cc2)n1
CHEMBL5559716,,,,,,,,,19.3,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,215.28,0.69,6,2,77.24,5,0,,,CCOC(=O)c1csc(NCCN)n1
CHEMBL5559893,,,,,,,,,53.3,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,410.59,4.18,6,1,62.46,11,0,,,CCN(CC)CCC(=O)c1csc(N(CCN)Cc2ccc3ccccc3c2)n1
CHEMBL5560036,,,,,,,,,56.6,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,356.45,2.83,7,1,81.34,7,0,,,CCOC(=O)c1csc(N(CCN)Cc2ccc3ccccc3n2)n1
CHEMBL5560211,,,,,,,,,26.1,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,371.41,2.89,7,1,77.68,9,0,,,CCOC(=O)c1csc(N(CCN)Cc2ccc(OC(F)F)cc2)n1
CHEMBL5560501,,,,,,,,,50.6,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,428.52,4.04,6,1,62.46,11,0,,,CCN(CC)CCC(=O)c1csc(N(CCN)Cc2cccc(C(F)(F)F)c2)n1
CHEMBL5560538,,,,,,,,,,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,460.56,4.40,6,3,94.56,8,0,,,CC(=O)NCCN(Cc1ccc2ccccc2c1)c1nc(C(=O)Nc2ccc(O)cc2)cs1
CHEMBL5560694,,,,,,,,,81.9,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,448.51,4.10,5,2,71.25,9,0,,,NCCN(Cc1cccc(C(F)(F)F)c1)c1nc(C(=O)NCCc2ccccc2)cs1
CHEMBL5560786,,,,,,,,,29.2,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,395.35,2.98,6,1,68.45,7,0,,,CCOC(=O)c1csc(N(CCN)Cc2c(F)c(F)c(F)c(F)c2F)n1
CHEMBL5560862,,,,,,,,,10.8,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,436.46,4.09,6,3,91.48,7,0,,,NCCN(Cc1cccc(C(F)(F)F)c1)c1nc(C(=O)Nc2ccc(O)cc2)cs1
CHEMBL5561313,,,,,,,,,56.8,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,434.36,4.20,6,1,68.45,7,0,,,CCOC(=O)c1csc(N(CCN)Cc2ccc3cc(Br)ccc3c2)n1
CHEMBL5562621,,,,,,,,,32.4,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,433.56,3.03,7,1,88.60,9,0,,,CCOC(=O)c1csc(N(CCNS(C)(=O)=O)Cc2ccc3ccccc3c2)n1
CHEMBL5563112,,,,,,,,,22.1,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,350.40,2.19,8,1,111.59,8,0,,,CCOC(=O)c1csc(N(CCN)Cc2cccc([N+](=O)[O-])c2)n1
CHEMBL5565891,,,,,,,,,29.0,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,327.41,2.96,5,2,79.45,6,0,,,NCCN(Cc1ccc2ccccc2c1)c1nc(C(=O)O)cs1
CHEMBL5568377,,,,,,,,,23.0,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,364.38,1.83,8,1,128.66,7,0,,,CCOC(=O)c1csc(N(CCN)C(=O)c2ccc([N+](=O)[O-])cc2)n1
