,risk_score,group,STIM1,TRPC6,TRPC1,ORAI1
TCGA-DD-A3A7-01,-1.525037407773135,Low,1089.0337,2.1716,34.7448,846.9055
TCGA-DD-A3A8-01,-0.025053029334073582,Low,3187.2766,22.8735,16.4403,1062.1873
TCGA-DD-A3A9-01,0.9724586546186401,High,3759.1191,37.8527,28.2175,683.4136
TCGA-DD-A4NA-01,-1.5219442831446823,Low,2295.5401,32.977,223.1299,504.0766
TCGA-DD-A4NB-01,-1.066291503151526,Low,1617.5349,66.0737,108.6404,552.0966
TCGA-DD-A4ND-01,-0.29781902152297596,Low,2647.3132,67.9432,142.063,400.2471
TCGA-DD-A4NE-01,1.0875621281158374,High,3130.662,13.3566,18.583,310.6852
TCGA-DD-A4NF-01,-0.29571144206516814,Low,2442.3077,31.4685,19.8135,868.8811
TCGA-DD-A4NG-01,0.0670292927533382,High,3516.1499,18.7339,114.3411,644.7028
TCGA-DD-A4NH-01,-0.23408444329453323,Low,3321.1092,36.6319,85.1152,924.9545
TCGA-DD-A4NI-01,0.146251491623905,High,2155.5024,19.1388,28.7081,383.9713
TCGA-DD-A4NJ-01,0.20728281387206074,High,2304.801,19.0414,17.4546,476.828
TCGA-DD-A4NK-01,0.27849524493964284,High,2245.3878,20.0609,13.6128,425.5776
TCGA-DD-A4NL-01,-0.16238095166267025,Low,1657.1429,20.4082,17.3469,396.9388
TCGA-DD-A4NN-01,1.408556700990913,High,4515.1812,5.3869,7.8355,822.2331
TCGA-DD-A4NO-01,0.48313910802223703,High,3324.2092,42.5791,96.1071,432.4818
TCGA-DD-A4NP-01,-1.0270028115238532,Low,1442.8836,14.8423,27.0342,771.7996
TCGA-DD-A4NQ-01,-0.24723762364661345,Low,2197.028,17.3953,26.093,660.1521
TCGA-DD-A4NR-01,-0.48737995006077184,Low,1903.6275,21.1153,37.3579,616.1343
TCGA-DD-A4NS-01,-0.6921055778076377,Low,2231.8018,39.2359,96.541,628.2912
TCGA-DD-A4NV-01,1.5671224541067148,High,3709.5215,24.1663,21.7496,295.7951
TCGA-DD-A73A-01,0.941622535409507,High,2687.5315,22.3245,6.8691,265.3186
TCGA-DD-A73B-01,-0.1561510677563277,Low,2350.0802,17.1032,20.31,707.1085
TCGA-DD-A73C-01,0.5574745162951464,High,2397.5976,36.6366,16.8168,339.9399
TCGA-DD-A73D-01,0.0801449603282052,High,2588.081,4.2687,31.7107,590.9167
TCGA-DD-A73E-01,-0.5435831793858992,Low,2068.5237,16.156,9.4708,867.4095
TCGA-DD-A73F-01,0.34653367407066,High,2531.6373,21.5597,14.3732,520.7006
TCGA-DD-A73G-01,-2.0600522273321973,Low,1811.98,12.4792,9.1514,1684.6922
TCGA-DD-AA3A-01,-0.9365109216420987,Low,1037.6135,26.5888,41.5045,465.6291
TCGA-DD-AAC8-01,0.615341591536775,High,3770.3093,6.8416,18.8145,901.9551
TCGA-DD-AAC9-01,-0.3796948036516263,Low,1721.3622,24.7678,14.4479,587.2033
TCGA-DD-AACA-01,1.653434392336674,High,4294.0216,44.8655,13.5032,607.6446
TCGA-DD-AACA-02,0.012191347852704374,Low,3444.4307,17.269,10.3614,1184.6552
TCGA-DD-AACB-01,-0.6143079765549666,Low,2822.9476,14.8368,29.6736,1169.1395
TCGA-DD-AACC-01,-0.03871747881244721,Low,2816.9935,12.1382,40.1494,746.9655
TCGA-DD-AACD-01,-0.6841769902822455,Low,1532.6465,11.4067,12.4437,670.9217
TCGA-DD-AACE-01,1.6790903695211434,High,3431.6134,30.303,4.914,190.8272
TCGA-DD-AACF-01,0.12546249707653623,High,1939.472,5.1513,7.0831,378.622
TCGA-DD-AACG-01,-0.41044872692680123,Low,2387.3171,23.4146,139.5122,273.1707
TCGA-DD-AACH-01,2.79848408910569,High,5819.1474,27.1768,25.7078,534.3553
TCGA-DD-AACI-01,-0.6419760532931624,Low,1791.1647,26.7738,26.7738,724.2303
TCGA-DD-AACJ-01,0.6635461820038598,High,3118.8433,9.8742,12.6954,593.8639
TCGA-DD-AACK-01,0.1111132487212891,High,2547.92,25.0132,9.4787,707.7409
TCGA-DD-AACL-01,-0.9871648843906548,Low,1606.6298,8.8398,75.1381,563.5359
TCGA-DD-AACN-01,0.2208371115836333,High,3611.8694,13.0564,68.8427,821.9585
TCGA-DD-AACO-01,-0.18702556823781621,Low,2505.9049,2.6171,34.0227,702.7002
TCGA-DD-AACP-01,-1.2577014858937294,Low,1385.4595,6.8587,87.1056,558.9849
TCGA-DD-AACQ-01,3.702970176630327,High,6456.0319,11.33,10.3,328.5696
TCGA-DD-AACS-01,0.5569537151584741,High,3613.9678,15.3492,99.7698,455.8711
TCGA-DD-AACT-01,1.1434405619475996,High,3392.2415,6.3788,12.7576,419.7245
TCGA-DD-AACU-01,1.897569871850115,High,4495.6772,10.3746,48.415,304.8991
TCGA-DD-AACV-01,0.789576993888451,High,2905.3006,0.7975,16.7475,373.231
TCGA-DD-AACW-01,-0.052012062784510704,Low,2424.9013,6.9937,92.1895,283.5621
TCGA-DD-AACX-01,1.320291702987437,High,3652.8142,5.8092,30.2078,343.3227
TCGA-DD-AACY-01,0.08073015570657259,High,2360.1672,6.5419,10.9031,593.131
TCGA-DD-AACZ-01,-1.123152071795186,Low,2096.8615,14.0693,133.1169,593.0736
TCGA-DD-AAD0-01,1.4594416439122204,High,4150.6547,1.1636,16.8726,558.5406
TCGA-DD-AAD1-01,1.2364792759485528,High,4565.2725,39.924,83.6502,623.5741
TCGA-DD-AAD2-01,0.34222555897178975,High,2597.2222,16.6667,31.4815,456.4815
TCGA-DD-AAD3-01,0.8271549840357763,High,2900.7103,8.8398,31.5706,285.3986
TCGA-DD-AAD5-01,-0.7052703562593021,Low,1716.2506,8.6602,51.9613,561.3856
TCGA-DD-AAD6-01,-0.601576105646799,Low,2109.4265,2.7324,124.325,297.8335
TCGA-DD-AAD8-01,1.1737322742490641,High,2780.8445,27.3649,11.3234,151.9226
TCGA-DD-AADA-01,0.09402137582674451,High,1832.0978,21.639,29.6534,259.6674
TCGA-DD-AADB-01,0.209779088907259,High,3170.4974,18.3448,104.303,439.7499
TCGA-DD-AADC-01,-0.8576245455962505,Low,2428.2178,27.2277,146.0396,545.3795
TCGA-DD-AADD-01,-0.20837548787212834,Low,3265.5072,6.3768,173.3333,363.4783
TCGA-DD-AADF-01,0.4236702434685854,High,2106.9223,13.6315,9.3717,277.7423
TCGA-DD-AADG-01,0.014049177442007014,Low,2659.5777,21.8745,6.0763,834.2701
TCGA-DD-AADI-01,-2.7753767360745134,Low,1871.553,5.0798,55.8781,1902.0319
TCGA-DD-AADJ-01,-1.4041663597972531,Low,1930.057,10.7945,26.9863,1235.9705
TCGA-DD-AADK-01,-0.40774812769724983,Low,2765.2296,19.2127,53.4208,896.4386
TCGA-DD-AADL-01,1.389632074845232,High,3569.2954,20.0653,21.9319,329.9113
TCGA-DD-AADM-01,-0.40849733781891856,Low,1810.3203,11.5405,13.8486,626.2646
TCGA-DD-AADN-01,-1.0618981228492113,Low,1084.8765,1.5432,33.9506,558.642
TCGA-DD-AADO-01,-3.184554111690758,Low,708.4806,24.735,145.7597,1161.6608
TCGA-DD-AADP-01,-0.6447057015638702,Low,1697.2973,16.8919,39.8649,593.2432
TCGA-DD-AADQ-01,-0.7597062400041799,Low,1345.9279,3.2027,30.4255,518.0341
TCGA-DD-AADR-01,0.9103166337116592,High,3076.7263,26.428,36.6581,325.6607
TCGA-DD-AADS-01,-0.38108156621284806,Low,1836.8146,0.0,23.4987,549.6084
TCGA-DD-AADU-01,0.13398893757805252,High,2406.015,27.4215,13.2685,609.4648
TCGA-DD-AADV-01,1.3839024053258815,High,3536.9383,31.335,24.8069,324.2302
TCGA-DD-AADW-01,-0.8327271971443209,Low,2635.6164,39.9217,81.409,992.1722
TCGA-DD-AADY-01,1.4155312348992042,High,3469.1691,18.4727,12.0072,314.0355
TCGA-DD-AAE0-01,-1.5529015400788728,Low,1365.4096,9.1027,31.2094,1029.909
