logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,log2FC,p_value,FDR,t_stat
-1.9339044243206,0.966952212160298,-12.6423357939347,1.4965527911607e-05,0.0001224178299528,3.21499301657126,ACP5,-1.9339044243206,1.4965527911607e-05,0.0001224178299528,-12.6423357939347
1.11977870736932,2.2440103626267,15.4597100886977,4.61764488773388e-06,5.46213076392797e-05,4.55688371600761,ACP6,1.11977870736932,4.61764488773388e-06,5.46213076392797e-05,15.4597100886977
1.00334142892257,2.95841687740378,8.51500631681968,0.0001434152487921,0.0006586966091169,0.624316294275415,ACSL1,1.00334142892257,0.0001434152487921,0.0006586966091169,8.51500631681968
-2.3454308470219,4.63557499266265,-18.9722629773003,1.38085075704665e-06,2.45195329782683e-05,5.92429630538228,ACSL4,-2.3454308470219,1.38085075704665e-06,2.45195329782683e-05,-18.9722629773003
1.64068477214351,0.90753938239313,10.7542187424785,3.81121252116728e-05,0.0002450948996774,2.1442496149681,ACSL5,1.64068477214351,3.81121252116728e-05,0.0002450948996774,10.7542187424785
1.65210041858892,1.01769186863091,13.6284914623506,9.66214937929324e-06,8.99410631041001e-05,3.71514204678043,ACSM2B,1.65210041858892,9.66214937929324e-06,8.99410631041001e-05,13.6284914623506
1.84241667856117,1.20765019165933,9.00498314959324,0.0001047223487674,0.0005162448746208,0.984925806365666,ACSM3,1.84241667856117,0.0001047223487674,0.0005162448746208,9.00498314959324
-1.57830965894698,0.803369608609656,-29.1161011494229,1.08259042894702e-07,4.78622802566441e-06,8.74374649460524,ACSS1,-1.57830965894698,1.08259042894702e-07,4.78622802566441e-06,-29.1161011494229
2.3043904022511,2.76125090933569,26.1250880127873,2.06577214085298e-07,7.02083956352735e-06,8.03963020503333,ACSS3,2.3043904022511,2.06577214085298e-07,7.02083956352735e-06,26.1250880127873
-1.31886616017056,4.00667995314347,-7.38627294582468,0.000315423736172,0.0012260399888648,-0.278826486405999,ACTR10,-1.31886616017056,0.000315423736172,0.0012260399888648,-7.38627294582468
-1.02556620455258,1.70910816278118,-6.52133517674491,0.0006193275061508,0.0020801082493407,-1.0503188015923,ACTR3C,-1.02556620455258,0.0006193275061508,0.0020801082493407,-6.52133517674491
1.02394858427189,2.66379797171388,9.18194348908305,9.38253012272775e-05,0.000476011422854,1.11096001178614,ACTR6,1.02394858427189,9.38253012272775e-05,0.000476011422854,9.18194348908305
1.0923886601542,2.56139069471031,8.7414923963411,0.0001237780058306,0.0005867492778217,0.793183959148557,ACTR8,1.0923886601542,0.0001237780058306,0.0005867492778217,8.7414923963411
