logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
1.84241667856117,1.20765019165933,9.00498314959324,0.0001047223487674,0.0005162448746208,0.984925806365666,ACSM3
-1.57830965894698,0.803369608609656,-29.1161011494229,1.08259042894702e-07,4.78622802566441e-06,8.74374649460524,ACSS1
-0.993452054959076,2.92442357781231,-4.85196310485714,0.002843049965883,0.00714915137484,-2.78196354090032,ACSS2
2.3043904022511,2.76125090933569,26.1250880127873,2.06577214085298e-07,7.02083956352735e-06,8.03963020503333,ACSS3
0.0198726713003947,0.215827877473091,0.162993310062048,0.875872982556335,0.899897006344735,-8.33893861732372,ACTA1
-0.538430781940249,10.8752445271522,-6.84700695171214,0.0004765461455865,0.0016970265206395,-0.750901271074012,ACTB
0.325297192149304,0.368902618162761,3.87134681595199,0.008247022825202,0.0174726654738347,-3.97610959051844,ACTBP8
-0.503584645794827,11.0589426145529,-7.0956160243896,0.0003927421497695,0.0014618735574753,-0.52972090707349,ACTG1
-0.39503078681784,0.949691269039656,-0.990012203638754,0.360383761599936,0.43639539158524,-7.82514153770192,ACTG1P20
0.103014486439922,0.682529589795815,1.70738683121592,0.138600141716645,0.197017130581032,-6.96931745577881,ACTG1P25
0.212668036361204,4.46931176622728,2.39748326148508,0.0534625956214853,0.086614336019951,-6.00438892353123,ACTL6A
0.0370104374629147,0.0327199978676219,0.651905226999249,0.538608765502569,0.606816046979491,-8.11501744278912,ACTL7B
0.636936738816982,2.54145815133678,4.29031012027964,0.0051427139916106,0.0117169143668633,-3.44877927077681,ACTMAP
0.531376001981956,5.67187862188084,6.98921133480577,0.0004263458314547,0.001555833576702,-0.623625255371456,ACTN1
-0.468720530826537,8.50477485018625,-7.80918631289212,0.0002321465328613,0.0009665088514197,0.0722563867978376,ACTN4
-1.31886616017056,4.00667995314347,-7.38627294582468,0.000315423736172,0.0012260399888648,-0.278826486405999,ACTR10
0.0394437689229161,6.1568919172646,0.696844986438627,0.511971056156589,0.581661462864885,-8.08217370865679,ACTR1A
-0.388416369643212,4.28295303104662,-6.65503069200292,0.0005554722036265,0.0019085455201529,-0.926037631984961,ACTR1B
0.378349815510781,5.95415597425516,6.98028971650817,0.0004293104781524,0.0015639511196821,-0.631550086631928,ACTR2
